Kepolisian Daerah,2021,2022,2023
ACEH,6651,10137,12420
SUMATERA UTARA,36534,43555,62278
SUMATERA BARAT,5666,7691,12722
RIAU,7512,12389,15777
JAMBI,3701,5359,7432
SUMATERA SELATAN,13037,11453,21335
BENGKULU,3493,3613,5579
LAMPUNG,9764,11022,16608
KEP. BANGKA BELITUNG,1566,2072,2211
KEP. RIAU,2481,3358,5074
METRO JAYA,29103,32534,87426
JAWA BARAT,7502,29485,45694
JAWA TENGAH,8909,30060,42304
DI YOGYAKARTA,4774,10591,12061
JAWA TIMUR,19257,51905,66741
BANTEN,3434,5038,7392
BALI,2404,6304,11916
NUSA TENGGARA BARAT,6296,5296,7550
NUSA TENGGARA TIMUR,4909,5991,12692
KALIMANTAN BARAT,4048,3975,6028
KALIMANTAN TENGAH,2399,3189,4420
KALIMANTAN SELATAN,4973,5016,6375
KALIMANTAN TIMUR,4564,4221,6762
KALIMANTAN UTARA,971,1280,1701
SULAWESI UTARA,6215,9618,14265
SULAWESI TENGAH,5139,5453,8944
SULAWESI SELATAN,14636,28679,41196
SULAWESI TENGGARA,2431,3828,6276
GORONTALO,2445,2488,3574
SULAWESI BARAT,1500,2027,2679
MALUKU,3139,2383,4741
MALUKU UTARA,1008,1220,2334
PAPUA BARAT,2784,4083,6410
PAPUA,6236,7584,14074
INDONESIA,239481,372897,584991
